"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000269927",8.8444441992023,1.69448255111193,0.302748767781622,1.61361581649454e-07,6.37165475650731e-07
"ENSG00000269951",49.9195637394739,-1.1342497960475,0.190272423801457,1.55390226349214e-09,8.26956632060176e-09
"ENSG00000269954",19.571697594213,1.23032400714386,0.259042434310976,6.83527884935707e-07,2.4621225504186e-06
"ENSG00000269967",9.44894692090084,1.24874660497875,0.243600669893077,9.23974907935838e-08,3.79830845334373e-07
"ENSG00000269978",9.76095821527501,1.40160013701496,0.24556365010425,3.53199628343226e-09,1.77884176456497e-08
"ENSG00000269986",1.708028131881,3.90515179201991,0.798112068868247,1.84068738143241e-07,7.22196040590335e-07
"ENSG00000269993",2.01112739028323,4.90988221329546,1.12312977584456,0.000449702464912673,0.00100457728049041
"ENSG00000269994",36.1392104285643,1.15392027865113,0.316474339274268,2.60279437378236e-05,7.19534971594524e-05
"ENSG00000270019",8.73721621889908,1.42718765449143,0.19284851693756,6.0985305680282e-14,5.58443956146715e-13
"ENSG00000270038",3.91524123914879,4.55915136751516,0.892897042539992,9.31382562593165e-08,3.82495136898898e-07
"ENSG00000270076",8.52979428926058,-1.81128995619655,0.230044864174394,1.45527932420721e-15,1.61892519198955e-14
"ENSG00000270077",1.35538718771038,-1.07803076995637,0.256415904762105,1.36397200677175e-05,3.97496313388504e-05
"ENSG00000270091",40.217591361523,-1.14224844266464,0.11711603934294,1.09297821549093e-22,2.92316180152103e-21
"ENSG00000270115",5.99380551041643,1.05892241439902,0.222422056077307,9.58090699597203e-07,3.37218708752764e-06
"ENSG00000270116",6.26403963391937,2.20376836894852,0.292568377547894,1.20361609023479e-10,7.38431133986793e-10
"ENSG00000270133",7.11720117201699,1.64993959109102,0.206062261076133,5.71775174779638e-16,6.64074312008217e-15
"ENSG00000270137",2.66408361113872,1.93115539588538,0.354887951204025,7.62955297614518e-09,3.65637746434639e-08
"ENSG00000270195",14.3563848211265,1.55357664185079,0.163756870288562,7.33480099713666e-22,1.75149989328177e-20
"ENSG00000270332",20.4663255179847,-1.15535758810416,0.190047986488188,7.94280863547635e-10,4.35674849906327e-09
"ENSG00000270372",5.71649432698767,3.01004121695383,0.639840172489453,1.53479622112714e-07,6.08645029709689e-07
"ENSG00000270460",10.7887448368909,4.60767773375738,0.456588787948696,1.13133621803263e-27,5.17983689909154e-26
"ENSG00000270557",12.8531375913505,1.97572411817815,0.180967077199221,2.13336337459875e-28,1.07443937229792e-26
"ENSG00000270640",19.6937507815908,1.18806625430014,0.241226166419815,2.84055178551813e-07,1.07711546144904e-06
"ENSG00000270661",3.7234974944297,1.88778251741579,0.373119733158575,4.90769850000286e-08,2.11749608177693e-07
"ENSG00000270761",36.6129652883854,1.21295527287094,0.143411353378875,1.15359688079465e-17,1.6730174658645e-16
"ENSG00000270816",8.54395514481378,4.95766196380003,0.677648118747842,1.96140030224625e-09,1.02607721193996e-08
"ENSG00000270933",39.6467545063956,2.67259906988817,0.217823714155537,1.18619381920305e-35,1.17348459971159e-33
"ENSG00000270937",1.09612937030774,1.43134138501249,0.493920377930549,0.00165703250792517,0.0033540226868489
"ENSG00000270977",22.6937221325937,3.52314906996662,0.276874371016936,3.68264801129684e-38,4.16364693522133e-36
"ENSG00000270988",1.28012770484976,1.05871499968722,0.38800280226727,0.00262184674267189,0.00511805178097331
"ENSG00000271119",38.0175981872563,1.34530704391024,0.173361390334709,2.2093352629717e-15,2.3999445797771e-14
"ENSG00000271151",16.2736863402266,1.70966846863562,0.169694708511272,2.51953161044279e-24,7.97611721248746e-23
