"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000229628",2.13924966081869,0.319857998307362,0.29133409770235,1.09790786876638,0.272244721615507,0.323780991745085
"ENSG00000229642",1.22035688291341,2.93227914867551,0.634028053328786,4.62484133514346,3.7488525778617e-06,9.54434903977573e-06
"ENSG00000229646",3.86011230860244,2.48132026409495,0.409121310585736,6.06499881549182,1.31954624792082e-09,4.97627697440752e-09
"ENSG00000229647",124.767103798991,2.95746221797444,0.236646765736644,12.497370115194,7.71618878137791e-36,2.25816626785631e-34
"ENSG00000229654",0.806512459223879,-0.437687391627146,0.352430076918934,-1.24191270919202,0.214268770407789,0.261387849225665
"ENSG00000229656",10.969325018901,1.68866270190441,0.245521232062739,6.87786831190591,6.07547913628849e-12,2.91867238909135e-11
"ENSG00000229660",10.5028219946467,0.839362050105484,0.195409263228646,4.29540563347478,1.74374201185603e-05,4.06589600813259e-05
"ENSG00000229671",17.1166106309837,-1.72444223740189,0.19984514501061,-8.62889232215446,6.1948977954557e-18,5.27993072135719e-17
"ENSG00000229692",67.3126152839582,0.751060883720214,0.104546344467796,7.18399947452558,6.77011243867287e-13,3.56596555998417e-12
"ENSG00000229694",6.36659232771066,-0.464650439616768,0.184186628057833,-2.52271538122122,0.0116452612207251,0.0182805742643894
"ENSG00000229699",5.19967618544376,2.99259158775042,0.436234890589249,6.86004639314416,6.88381884655277e-12,3.2959586731074e-11
"ENSG00000229719",3.40209593769026,0.772784046269024,0.241432329935222,3.20083083519249,0.00137031956912022,0.00248267626294174
"ENSG00000229720",2.86202176431375,2.93696582376865,0.404203775500352,7.2660524264848,3.70144979224553e-13,2.00486459002081e-12
"ENSG00000229722",1.50948400145863,3.01900483136651,0.593872196282542,5.08359349076208,3.70360150425142e-07,1.06007276588753e-06
"ENSG00000229727",6.22511174713684,0.589640732257106,0.228763002164622,2.57751789702773,0.00995127281458246,0.0157637395372673
"ENSG00000229740",0.434801332713738,0.141201957217463,0.549422980869641,0.25700045708675,0.797178420217204,0.82523288546578
"ENSG00000229743",1.14871560853523,2.86307658074657,1.00078833532902,2.86082129425029,0.00422545157693815,0.00715805972986333
"ENSG00000229771",17.1409532632757,-0.33061075060117,0.22238366083087,-1.48666835218893,0.137102425254692,0.175775483071281
"ENSG00000229774",1.05664080615587,2.65268842757234,1.0268092339017,2.58342868372207,0.00978236891733658,0.0155261948284014
"ENSG00000229807",970.858576745748,-0.278812682588181,0.578998995461343,-0.481542601582624,0.630130909380176,0.673078379181507
"ENSG00000229832",5.65640331518429,0.354715297960245,0.174387245141609,2.03406675569766,0.0419448652688762,0.0597308210482309
