"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000258548",4.66519664130087,5.42188265926085,0.569941334247964,1.04072141791019e-23,1.38827396584485e-22
"ENSG00000258551",4.81776879899801,-1.56912246842463,0.262372182351917,1.10529569624296e-09,4.20701799180467e-09
"ENSG00000258592",18.8909853914319,3.68599240626897,0.263269019176261,2.74085685065604e-46,1.33233516062399e-44
"ENSG00000258602",21.5686043367638,4.25109287750424,0.441805477782398,1.46741235417255e-23,1.93496029046753e-22
"ENSG00000258609",1.96682525186641,1.55357419799032,0.42609773148541,7.55975793061751e-05,0.000163079245919601
"ENSG00000258631",1.40536876248667,3.41562572095075,0.703938910240567,2.1166549906904e-07,6.22303076709387e-07
"ENSG00000258636",19.9276553234058,-1.20858854454338,0.234962682872151,1.11352425030865e-09,4.23552725448966e-09
"ENSG00000258647",35.4577461837142,-1.98067289333133,0.309597064491231,7.33792407340015e-11,3.13872725466243e-10
"ENSG00000258654",4.98917618400701,2.24702316615093,0.384669520839347,4.90994077349947e-10,1.94230484667538e-09
"ENSG00000258676",12.1092006540102,-1.83814466913781,0.304290131015116,7.21484977143549e-10,2.79435369945672e-09
"ENSG00000258683",1.19519827621178,8.19400002159041,2.91256126573036,0.00348318109118815,0.005969383549165
"ENSG00000258689",29.5817852277644,2.22920053491003,0.298562398141166,7.05443578999383e-15,4.55165845797577e-14
"ENSG00000258700",26.0475516916459,5.48270024624188,0.456342935477929,1.27294916224243e-35,3.66916401739829e-34
"ENSG00000258710",6.59237953823457,7.61197278209194,0.972506317570405,1.82245460384943e-12,9.2021123307045e-12
"ENSG00000258711",47.0725439997866,4.64539403982748,0.313106431752891,5.83744649672484e-52,3.72039923391263e-50
"ENSG00000258735",6.04250202103011,1.18519203470734,0.235407460541715,1.7828657363895e-07,5.30146079001044e-07
"ENSG00000258743",19.5870912945567,4.11672905478284,0.485090924726819,4.04411269387669e-15,2.67246894148349e-14
"ENSG00000258753",2.87844802739726,4.81025256645204,1.3184282950103,0.00230956347449083,0.00404755761982261
"ENSG00000258754",56.3583106205292,1.36280901370545,0.299835101053278,1.50823804027382e-06,4.01264072310327e-06
"ENSG00000258776",0.974712026859419,4.14792354190755,0.939264465845716,2.28132141343826e-06,5.9426247172942e-06
"ENSG00000258777",9.95651129712632,1.7891608225499,0.213864172669851,1.6339351851166e-12,8.29402851489278e-12
"ENSG00000258791",81.3876369030148,3.24069914122128,0.330351215760504,4.77541276336865e-38,1.59254462852806e-36
"ENSG00000258792",1.20311377260382,1.0064456802284,0.403909922896817,0.00496645008728291,0.00831996428173329
"ENSG00000258798",4.14028930738717,2.29496728529008,0.278174765908088,1.88537392028118e-17,1.53397231301175e-16
"ENSG00000258803",0.733456666449857,1.35863360521467,0.492085537372334,0.00213836965281089,0.00376479076995803
"ENSG00000258808",5.66988689321321,4.74621309606909,0.523852648082949,1.26048697061909e-22,1.5416105039384e-21
"ENSG00000258811",8.79441999059006,1.05351148235749,0.207962095065796,2.15879195908388e-07,6.33717025450622e-07
"ENSG00000258815",57.210287645131,6.68047279063235,0.395691020681341,5.04726332200582e-69,8.77306133788648e-67
"ENSG00000258819",50.793561540474,-1.76577731970301,0.22313396148597,1.18749919857747e-15,8.21652038967477e-15
"ENSG00000258826",2.37153120206058,-1.74706496475817,0.274332605770855,7.78564953394162e-11,3.320333511278e-10
"ENSG00000258844",58.4358355022697,-2.77666155272066,0.344560993704505,3.57298720246319e-16,2.59426007510492e-15
"ENSG00000258859",0.892817379905105,-1.28477887519361,0.496536076242952,0.00571976993031735,0.00947951468370423
"ENSG00000258867",19.1397713400747,-1.22217472877528,0.212521626824857,5.30975899028607e-09,1.883536027723e-08
"ENSG00000258884",21.0308808906941,2.69968832574544,0.234461271055426,3.50612946585582e-32,8.17526773014186e-31
"ENSG00000258888",1.26134220717105,2.95541551993701,0.603002259621108,8.7330818101161e-08,2.67733603756419e-07
"ENSG00000258902",2.66318788282332,3.56896719543813,0.590158013059552,1.21041939206251e-11,5.63552405265466e-11
"ENSG00000258910",12.6675222411289,5.24857439970477,0.533768516147595,2.07929774243872e-23,2.71064814787011e-22
"ENSG00000258918",0.731386505580786,2.26665245864175,0.60834731700621,2.98374784567021e-05,6.77544641439601e-05
"ENSG00000258922",3.46593500550916,-1.21223394685811,0.209581852091921,4.3682721035639e-09,1.56700492720716e-08
"ENSG00000258927",15.8360972304162,4.29005053975064,0.525697062011488,3.35175382417862e-18,2.91739907974029e-17
"ENSG00000258942",8.18169431439599,2.91216052351696,0.288459472712398,3.93835477631109e-25,5.88291744711469e-24
"ENSG00000258943",4.59097762096357,-1.84387987339612,0.210577989389245,9.53540675921011e-19,8.61340049934318e-18
"ENSG00000258952",9.30450129134643,2.23503546053185,0.248364027408333,3.3979216936028e-20,3.48044264901887e-19
"ENSG00000258955",272.695835488201,5.82943262086537,0.293642219358069,1.99229938145845e-90,1.03889356836779e-87
"ENSG00000258969",2.25530279104596,2.30873183239439,1.03913974864485,0.00194213367148993,0.00344148246514249
"ENSG00000258979",1.41891148560695,-1.94744706824703,0.458151876796925,9.76391687625313e-06,2.35714760951969e-05
"ENSG00000259004",5.61025589816129,-1.61684319187312,0.198541050575662,1.65910340454953e-16,1.2521864642758e-15
"ENSG00000259005",20.6867872292743,-1.51795756420071,0.189704872680964,6.56298786490777e-16,4.62472953232321e-15
"ENSG00000259023",3.47430434140574,1.98483185532003,0.436948895773933,7.10770326944922e-07,1.95444803228958e-06
"ENSG00000259033",8.39943965994271,1.54945878697969,0.231934304124322,1.05170688301574e-08,3.6015466752109e-08
"ENSG00000259042",4.83109925598583,2.23627540930357,0.37537772568336,2.97440442875757e-10,1.20488586181875e-09
"ENSG00000259054",0.992270002713945,1.91357505282145,0.467789410095588,6.03251521480146e-06,1.49020272489669e-05
"ENSG00000259072",11.2289931019662,-2.38877763461194,0.237582062301825,3.84675853847839e-24,5.39486723146994e-23
"ENSG00000259093",1.25372845559302,1.13380439247826,0.310067848863224,0.00013070261689771,0.000271831113315905
"ENSG00000259104",11.7575245121394,-2.03142556375162,0.27913492176858,1.48549499184539e-13,8.46156829515904e-13
"ENSG00000259107",1.82673920620561,3.96031303573247,0.720483497948966,9.04327304664434e-07,2.46892975704674e-06
"ENSG00000259124",5.64472949582497,-1.15637999120537,0.223998374239247,1.48952601128914e-07,4.46157765052456e-07
"ENSG00000259129",68.5615615235144,3.23148420858947,0.413558095999013,1.23720765351002e-16,9.42446626896879e-16
"ENSG00000259134",28.1660138396624,-1.91116494953312,0.226036420693564,1.24818146755521e-17,1.03461978293305e-16
"ENSG00000259153",172.994442815835,2.25417550447297,0.176490207683526,1.7540480079053e-38,5.95338424458274e-37
"ENSG00000259178",17.1365303343466,7.71661426494633,0.710019983160472,2.3770416010487e-54,1.68329760785374e-52
"ENSG00000259194",0.892263197349022,-1.70203092748973,0.372884468909827,2.23249598264529e-06,5.820725889297e-06
"ENSG00000259200",1.0585196540643,1.63791600799049,0.512557604899427,0.000443189200886551,0.00085680258048037
"ENSG00000259203",5.82984046717958,4.13802539769841,0.707941408343585,2.94908073331106e-11,1.31846664741015e-10
"ENSG00000259204",0.890546100518772,2.06490159021244,0.510034181730323,8.21435137402542e-05,0.00017574606296684
"ENSG00000259218",4.8381548189734,7.05178727856444,0.994507236010883,5.92000763773124e-34,1.53397644230798e-32
"ENSG00000259222",1.60709256711328,4.19283450536959,0.838747312322375,4.43252291534341e-07,1.25493343743385e-06
"ENSG00000259225",105.163154833902,-1.45833851707118,0.229087952482391,1.03662730564386e-10,4.3915023819595e-10
"ENSG00000259230",38.0744335932821,3.14508184490452,0.264548001794436,4.9705596825941e-34,1.30187809768766e-32
"ENSG00000259240",15.9926574990176,5.45179558380593,0.373287083683121,1.47322011224082e-54,1.09745331997576e-52
"ENSG00000259245",1.33939966338506,2.12226545639231,0.492802064269826,4.19775403393586e-05,9.38359982020891e-05
"ENSG00000259254",1.17823341672571,2.45230581411925,0.452269631829227,2.12689756251241e-10,8.74543685919082e-10
"ENSG00000259256",3.05460006629887,4.27335251977974,0.598335747350504,2.12966018184949e-13,1.19294246123913e-12
"ENSG00000259269",1.02693827142328,-1.45648148958971,0.351191191684474,1.23443565284156e-05,2.94172119015338e-05
"ENSG00000259275",38.6402994198536,-1.23496873552224,0.161169688205682,1.07453312329408e-14,6.76566629551572e-14
