"gene","pval","survival_direction"
"ENSG00000261092",0.000552515318314906,"High expression = worse survival"
"ENSG00000261231",0.00103726717951791,"High expression = better survival"
"ENSG00000261268",0.00556324466141833,"High expression = worse survival"
"ENSG00000261298",0.0383835801380976,"High expression = worse survival"
"ENSG00000261379",0.0449698588934301,"High expression = worse survival"
"ENSG00000261430",0.00255995694991529,"High expression = better survival"
"ENSG00000261618",0.024834981395623,"High expression = worse survival"
"ENSG00000261706",0.00365767866533806,"High expression = worse survival"
"ENSG00000261888",0.0137685878320835,"High expression = worse survival"
"ENSG00000262172",0.00863261197284015,"High expression = worse survival"
"ENSG00000262188",0.0309141840283397,"High expression = worse survival"
"ENSG00000262343",0.0179937703744377,"High expression = worse survival"
"ENSG00000262585",0.000473605200085214,"High expression = worse survival"
"ENSG00000263438",0.0399467028637952,"High expression = better survival"
"ENSG00000264754",0.0385939986218248,"High expression = worse survival"
"ENSG00000265055",0.00584679317337855,"High expression = better survival"
"ENSG00000266278",0.020744998011337,"High expression = worse survival"
"ENSG00000266446",0.0199558945662184,"High expression = worse survival"
"ENSG00000266604",0.0182599599727457,"High expression = better survival"
"ENSG00000267072",0.0286060266118414,"High expression = better survival"
"ENSG00000267073",0.0108820339013163,"High expression = worse survival"
"ENSG00000267313",0.0111323935319099,"High expression = worse survival"
"ENSG00000267440",0.0108222538607058,"High expression = better survival"
"ENSG00000267501",0.0338808908854931,"High expression = worse survival"
"ENSG00000267593",0.015605547507465,"High expression = better survival"
"ENSG00000267778",0.0248166182827291,"High expression = better survival"
"ENSG00000267943",0.0331758932135831,"High expression = better survival"
"ENSG00000268307",0.00562440936684161,"High expression = better survival"
"ENSG00000268628",0.0141360623189999,"High expression = worse survival"
"ENSG00000269356",0.0199812716858555,"High expression = worse survival"
"ENSG00000269729",0.00446855087884079,"High expression = worse survival"
"ENSG00000269927",0.00626571156821532,"High expression = worse survival"
"ENSG00000270137",0.0476567370640828,"High expression = worse survival"
"ENSG00000271614",0.0301813017744559,"High expression = worse survival"
"ENSG00000272068",0.0443058522361239,"High expression = worse survival"
"ENSG00000272070",0.00404649703971072,"High expression = worse survival"
"ENSG00000272088",0.00764333254338712,"High expression = worse survival"
"ENSG00000272138",0.0135001266073274,"High expression = better survival"
"ENSG00000272168",1.61566168995764e-05,"High expression = worse survival"
"ENSG00000272551",0.00653569268933718,"High expression = worse survival"
"ENSG00000272622",0.0230857890513387,"High expression = worse survival"
"ENSG00000272769",0.00794912357451327,"High expression = worse survival"
"ENSG00000272783",0.0193643403491999,"High expression = worse survival"
"ENSG00000272784",0.00473999012377069,"High expression = worse survival"
"ENSG00000272824",0.00897978721990189,"High expression = worse survival"
"ENSG00000273100",0.019582609506609,"High expression = worse survival"
"ENSG00000273129",9.23653125928237e-06,"High expression = worse survival"
"ENSG00000273297",0.0278538335158607,"High expression = worse survival"
"ENSG00000274020",0.00462687190565303,"High expression = worse survival"
"ENSG00000274139",0.00282873864620059,"High expression = worse survival"
"ENSG00000274827",0.00835619421954947,"High expression = worse survival"
"ENSG00000274976",0.0136070572591279,"High expression = worse survival"
"ENSG00000275212",0.00499810934974743,"High expression = worse survival"
"ENSG00000275216",0.0304001469991927,"High expression = worse survival"
"ENSG00000275393",0.0195525084386007,"High expression = worse survival"
"ENSG00000275613",0.00737238198530377,"High expression = better survival"
"ENSG00000275678",0.0431913081894905,"High expression = better survival"
"ENSG00000275927",0.002646040361025,"High expression = worse survival"
"ENSG00000276334",0.02120673047245,"High expression = better survival"
"ENSG00000276980",0.00161585753752636,"High expression = worse survival"
"ENSG00000277840",0.0225482747359519,"High expression = worse survival"
"ENSG00000278041",0.00849201723626158,"High expression = worse survival"
"ENSG00000278192",0.00437390904389834,"High expression = worse survival"
"ENSG00000278266",0.00360027140705743,"High expression = worse survival"
"ENSG00000280206",0.0257347349522324,"High expression = worse survival"
"ENSG00000280383",0.0253211447388587,"High expression = worse survival"
"ENSG00000280800",0.00411284804669698,"High expression = worse survival"
"ENSG00000281097",0.0161358318044207,"High expression = better survival"
"ENSG00000281344",0.00147479082598556,"High expression = worse survival"
"ENSG00000282021",0.0235226197927583,"High expression = worse survival"
"ENSG00000282381",0.00626717539655131,"High expression = worse survival"
"ENSG00000282556",0.0464628363951107,"High expression = worse survival"
"ENSG00000282890",0.0014875491535542,"High expression = worse survival"
"ENSG00000283052",0.0192130604575605,"High expression = worse survival"
"ENSG00000283098",0.0059671225833231,"High expression = better survival"
"ENSG00000283258",0.0358993813544366,"High expression = better survival"
"ENSG00000283631",0.0350568109711675,"High expression = better survival"
